time;V(/VOUT);V(Net-_D1-K_);
0.0743018;3.61581;1.71776;
0.0744018;3.61138;1.71352;
0.0745018;3.61581;1.71776;
0.0746018;3.61138;1.71352;
0.0747018;3.61581;1.71776;
0.0748018;3.61138;1.71352;
0.0749018;3.61581;1.71776;
0.0750018;3.61138;1.71352;
0.0751018;3.61581;1.71776;
0.0752018;3.61138;1.71352;
0.0753018;3.61581;1.71776;
0.0754018;3.61138;1.71352;
0.0755018;3.61581;1.71776;
0.0756018;3.61138;1.71352;
0.0757018;3.61581;1.71776;
0.0758018;3.61138;1.71352;
0.0759018;3.61581;1.71776;
0.0760018;3.61138;1.71352;
0.0761018;3.61581;1.71776;
0.0762018;3.61138;1.71352;
