time;P(R3);
0.0999018;0.00894136;
0.100002;0.0088975;
0.100102;0.00894136;
0.100202;0.00889751;
0.100302;0.00894136;
0.100402;0.00889751;
0.100502;0.00894136;
0.100602;0.00889751;
0.100702;0.00894136;
0.100802;0.00889751;
0.100902;0.00894136;
0.101002;0.00889751;
0.101102;0.00894136;
0.101202;0.00889751;
0.101302;0.00894135;
0.101402;0.00889751;
0.101502;0.00894135;
0.101602;0.00889751;
0.101702;0.00894135;
0.101802;0.00889751;
0.101902;0.00894135;
0.102002;0.00889751;
0.102102;0.00894135;
0.102202;0.00889751;
0.102302;0.00894135;
0.102402;0.00889751;
